temperature_K,time_ps,frame_index,n_pure,n_err
1600,2632.000000,1315,0,0.000000
1600,2646.000000,1322,0,0.000000
1600,2658.000000,1328,0,0.000000
1600,2670.000000,1334,0,0.000000
1600,2682.000000,1340,0,0.000000
1600,2696.000000,1347,0,0.000000
1600,2708.000000,1353,0,0.000000
1600,2720.000000,1359,0,0.000000
1600,2732.000000,1365,0,0.000000
1600,2746.000000,1372,0,0.000000
1600,2758.000000,1378,0,0.000000
1600,2770.000000,1384,0,0.000000
1600,2782.000000,1390,0,0.000000
1600,2796.000000,1397,0,0.000000
1600,2808.000000,1403,0,0.000000
1600,2820.000000,1409,1,1.000000
1600,2832.000000,1415,0,0.000000
1600,2846.000000,1422,0,0.000000
1600,2858.000000,1428,0,0.000000
1600,2870.000000,1434,0,0.000000
1600,2884.000000,1441,0,0.000000
1600,2896.000000,1447,0,0.000000
1600,2908.000000,1453,0,0.000000
1600,2920.000000,1459,0,0.000000
1600,2934.000000,1466,0,0.000000
1600,2946.000000,1472,0,0.000000
1600,2958.000000,1478,0,0.000000
1600,2970.000000,1484,0,0.000000
1600,2984.000000,1491,0,0.000000
1600,2996.000000,1497,0,0.000000
1600,3008.000000,1503,0,0.000000
1600,3020.000000,1509,0,0.000000
1600,3034.000000,1516,0,0.000000
1600,3046.000000,1522,0,0.000000
1600,3058.000000,1528,0,0.000000
1600,3070.000000,1534,0,0.000000
1600,3084.000000,1541,0,0.000000
1600,3096.000000,1547,0,0.000000
1600,3108.000000,1553,0,0.000000
1600,3122.000000,1560,0,0.000000
1600,3134.000000,1566,0,0.000000
1600,3146.000000,1572,0,0.000000
1600,3158.000000,1578,0,0.000000
1600,3172.000000,1585,0,0.000000
1600,3184.000000,1591,0,0.000000
1600,3196.000000,1597,0,0.000000
1600,3208.000000,1603,0,0.000000
1600,3222.000000,1610,0,0.000000
1600,3234.000000,1616,0,0.000000
1600,3246.000000,1622,0,0.000000
1600,3258.000000,1628,0,0.000000
1600,3272.000000,1635,0,0.000000
1600,3284.000000,1641,0,0.000000
1600,3296.000000,1647,0,0.000000
1600,3308.000000,1653,0,0.000000
1600,3322.000000,1660,0,0.000000
1600,3334.000000,1666,0,0.000000
1600,3346.000000,1672,0,0.000000
1600,3360.000000,1679,0,0.000000
1600,3372.000000,1685,0,0.000000
1600,3384.000000,1691,0,0.000000
1600,3396.000000,1697,0,0.000000
1600,3410.000000,1704,0,0.000000
1600,3422.000000,1710,0,0.000000
1600,3434.000000,1716,0,0.000000
1600,3446.000000,1722,0,0.000000
1600,3460.000000,1729,0,0.000000
1600,3472.000000,1735,0,0.000000
1600,3484.000000,1741,0,0.000000
1600,3496.000000,1747,0,0.000000
1600,3510.000000,1754,0,0.000000
1600,3522.000000,1760,0,0.000000
1600,3534.000000,1766,0,0.000000
1600,3546.000000,1772,0,0.000000
1600,3560.000000,1779,0,0.000000
1600,3572.000000,1785,0,0.000000
1600,3584.000000,1791,0,0.000000
1600,3598.000000,1798,0,0.000000
1600,3610.000000,1804,0,0.000000
1600,3622.000000,1810,0,0.000000
1600,3634.000000,1816,0,0.000000
1600,3648.000000,1823,0,0.000000
1600,3660.000000,1829,0,0.000000
1600,3672.000000,1835,0,0.000000
1600,3684.000000,1841,0,0.000000
1600,3698.000000,1848,0,0.000000
1600,3710.000000,1854,0,0.000000
1600,3722.000000,1860,0,0.000000
1600,3734.000000,1866,0,0.000000
1600,3748.000000,1873,0,0.000000
1600,3760.000000,1879,0,0.000000
1600,3772.000000,1885,0,0.000000
1600,3784.000000,1891,0,0.000000
1600,3798.000000,1898,0,0.000000
1600,3810.000000,1904,0,0.000000
1600,3822.000000,1910,0,0.000000
1600,3836.000000,1917,0,0.000000
1600,3848.000000,1923,0,0.000000
1600,3860.000000,1929,0,0.000000
1600,3872.000000,1935,0,0.000000
1600,3886.000000,1942,0,0.000000
1600,3898.000000,1948,0,0.000000
1600,3910.000000,1954,0,0.000000
1600,3922.000000,1960,0,0.000000
1600,3936.000000,1967,0,0.000000
1600,3948.000000,1973,0,0.000000
1600,3960.000000,1979,0,0.000000
1600,3972.000000,1985,0,0.000000
1600,3986.000000,1992,0,0.000000
1600,3998.000000,1998,0,0.000000
1600,4010.000000,2004,0,0.000000
1600,4022.000000,2010,0,0.000000
1600,4036.000000,2017,0,0.000000
1600,4048.000000,2023,0,0.000000
1600,4060.000000,2029,0,0.000000
1600,4074.000000,2036,0,0.000000
1600,4086.000000,2042,0,0.000000
1600,4098.000000,2048,0,0.000000
1600,4110.000000,2054,0,0.000000
1600,4124.000000,2061,0,0.000000
1600,4136.000000,2067,0,0.000000
1600,4148.000000,2073,0,0.000000
1600,4160.000000,2079,0,0.000000
1600,4174.000000,2086,0,0.000000
1600,4186.000000,2092,0,0.000000
1600,4198.000000,2098,0,0.000000
1600,4210.000000,2104,0,0.000000
1600,4224.000000,2111,0,0.000000
1600,4236.000000,2117,0,0.000000
1600,4248.000000,2123,0,0.000000
1600,4260.000000,2129,0,0.000000
1600,4274.000000,2136,0,0.000000
1600,4286.000000,2142,0,0.000000
1600,4298.000000,2148,0,0.000000
1600,4312.000000,2155,0,0.000000
1600,4324.000000,2161,0,0.000000
1600,4336.000000,2167,0,0.000000
1600,4348.000000,2173,0,0.000000
1600,4362.000000,2180,0,0.000000
1600,4374.000000,2186,0,0.000000
1600,4386.000000,2192,0,0.000000
1600,4398.000000,2198,0,0.000000
1600,4412.000000,2205,0,0.000000
1600,4424.000000,2211,0,0.000000
